case_name,source,source_id,artifact_item_id,artifact_type,payload_type,payload_sha256,descriptor_json,limitations_json
mos2-band-gap,materials_project,mp-2815,sha256:3ccf9740fe66881b4acc3ba8ccd83bfc16ee9816d96ea6c539f0630a60a5b12e,density_of_states,matrouter.density-of-states-artifact,26ff8cf596f248051dd08a5ca5985240984bf4d62bc6217af1ae5985c4685857,"{""artifact_index"":0,""artifact_type"":""density_of_states"",""container_payload_type"":""matrouter.density-of-states-artifact"",""payload_sha256"":""26ff8cf596f248051dd08a5ca5985240984bf4d62bc6217af1ae5985c4685857"",""source"":""materials_project"",""source_id"":""mp-2815""}",[]
mos2-band-gap,materials_project,mp-2815,sha256:6d8b196df1c251e7cb4b2b4b31962f8ccd671e1e28873910f07ac580e41cb752,band_structure,matrouter.band-structure-artifact,8219ee1b8698c1faf00f02d7cacc86da58a5036984408445c2c9b1f48b4ace18,"{""artifact_index"":0,""artifact_type"":""band_structure"",""container_payload_type"":""matrouter.band-structure-artifact"",""payload_sha256"":""8219ee1b8698c1faf00f02d7cacc86da58a5036984408445c2c9b1f48b4ace18"",""source"":""materials_project"",""source_id"":""mp-2815""}",[]
bi2se3-topology,materialsgalaxy:topo_crystals,mg-35598,sha256:020af1fe2df7c23f287d46fb845567cca1b65c7e878eee1db04dac84865c9e9e,topology_soc,matrouter.materialsgalaxy-topology-artifact,3112ea2840a8eb60bca031b1765f9f3d9098e7db661e7aec337469cced79fa57,"{""artifact_index"":0,""artifact_type"":""topology_soc"",""container_payload_type"":""matrouter.materialsgalaxy-topology-artifact"",""formula"":""Bi2Se3"",""limitations"":[""source_native_classification_not_independent_topology_validation"",""soc_flag_is_source_request_context_not_independent_method_reproduction"",""source_native_indicators_not_independently_recomputed"",""classification_definition_not_reported_by_source_artifact"",""artifact_does_not_validate_surface_states_or_all_polymorphs""],""mg_id"":""mg-35598"",""payload_sha256"":""3112ea2840a8eb60bca031b1765f9f3d9098e7db661e7aec337469cced79fa57"",""retrieval"":{""endpoint"":""/materials/topological_properties/mg-35598"",""parameters"":{""soc"":true},""retrieved_at"":""2026-08-11T20:00:05.762766+00:00"",""source_url"":""https://materialsgalaxy.iphy.ac.cn/api/v1/materials/topological_properties/mg-35598?soc=true""},""soc"":true,""source"":""materialsgalaxy:topo_crystals"",""source_definition"":{""definition"":null,""status"":""not_reported_by_source_artifact""},""source_id"":""mg-35598"",""source_native_indicators"":{""ind_group"":""Z2_Z2_Z2_Z4"",""sym_ind"":[0,0,0,3],""z2224_ind"":[0,0,0,3]},""source_native_structure_identity"":{""crystal_system"":""Trigonal"",""number"":166,""symbol"":""R-3m""},""source_native_topo_class"":""TI""}",[]
bi2se3-topology,materialsgalaxy:topo_crystals,mg-2145449,sha256:bf7ac7b3f4d25fbd97a4159c1a6ede348e5df0e157c2ae38b4ec29b9a3968ef5,topology_no_soc,matrouter.materialsgalaxy-topology-artifact,fc773a48a9f745689a94ea2329de35daf048742b26864c6614885a43a21224d7,"{""artifact_index"":0,""artifact_type"":""topology_no_soc"",""container_payload_type"":""matrouter.materialsgalaxy-topology-artifact"",""formula"":""Bi2Se3"",""limitations"":[""source_native_classification_not_independent_topology_validation"",""soc_flag_is_source_request_context_not_independent_method_reproduction"",""source_native_indicators_not_independently_recomputed"",""classification_definition_not_reported_by_source_artifact"",""artifact_does_not_validate_surface_states_or_all_polymorphs""],""mg_id"":""mg-2145449"",""payload_sha256"":""fc773a48a9f745689a94ea2329de35daf048742b26864c6614885a43a21224d7"",""retrieval"":{""endpoint"":""/materials/topological_properties/mg-2145449"",""parameters"":{""soc"":false},""retrieved_at"":""2026-08-11T20:00:05.926698+00:00"",""source_url"":""https://materialsgalaxy.iphy.ac.cn/api/v1/materials/topological_properties/mg-2145449?soc=false""},""soc"":false,""source"":""materialsgalaxy:topo_crystals"",""source_definition"":{""definition"":null,""status"":""not_reported_by_source_artifact""},""source_id"":""mg-2145449"",""source_native_indicators"":{""z2224_ind"":[0,0,0,0]},""source_native_structure_identity"":{""crystal_system"":""Orthorhombic"",""number"":62,""symbol"":""Pnma""},""source_native_topo_class"":""Triv_Ins""}",[]
bi2se3-topology,materialsgalaxy:topo_crystals,mg-35598,sha256:d017f9d0904b3f71b5e211bc89cfddf5eb90bea4f2bcf4017d99708a68138128,topology_no_soc,matrouter.materialsgalaxy-topology-artifact,653863593e9756d29dd3c53055726a96af734891fbf5424fa0d5a04700995e52,"{""artifact_index"":0,""artifact_type"":""topology_no_soc"",""container_payload_type"":""matrouter.materialsgalaxy-topology-artifact"",""formula"":""Bi2Se3"",""limitations"":[""source_native_classification_not_independent_topology_validation"",""soc_flag_is_source_request_context_not_independent_method_reproduction"",""source_native_indicators_not_independently_recomputed"",""classification_definition_not_reported_by_source_artifact"",""artifact_does_not_validate_surface_states_or_all_polymorphs""],""mg_id"":""mg-35598"",""payload_sha256"":""653863593e9756d29dd3c53055726a96af734891fbf5424fa0d5a04700995e52"",""retrieval"":{""endpoint"":""/materials/topological_properties/mg-35598"",""parameters"":{""soc"":false},""retrieved_at"":""2026-08-11T20:00:05.606433+00:00"",""source_url"":""https://materialsgalaxy.iphy.ac.cn/api/v1/materials/topological_properties/mg-35598?soc=false""},""soc"":false,""source"":""materialsgalaxy:topo_crystals"",""source_definition"":{""definition"":null,""status"":""not_reported_by_source_artifact""},""source_id"":""mg-35598"",""source_native_indicators"":{""ind_group"":""Z2"",""sym_ind"":[0],""z2224_ind"":[0,0,0,0]},""source_native_structure_identity"":{""crystal_system"":""Trigonal"",""number"":166,""symbol"":""R-3m""},""source_native_topo_class"":""Triv_Ins""}",[]
bi2se3-topology,materialsgalaxy:topo_crystals,mg-2145449,sha256:d1a5ab3ae49305b73327a52db5ec1311ca405bd13d5d1286864b8395800c7c0a,topology_soc,matrouter.materialsgalaxy-topology-artifact,450d7cc5fe72190781ddc44a6727aba43bd1ba526a98198909bbdb1e2403151b,"{""artifact_index"":0,""artifact_type"":""topology_soc"",""container_payload_type"":""matrouter.materialsgalaxy-topology-artifact"",""formula"":""Bi2Se3"",""limitations"":[""source_native_classification_not_independent_topology_validation"",""soc_flag_is_source_request_context_not_independent_method_reproduction"",""source_native_indicators_not_independently_recomputed"",""classification_definition_not_reported_by_source_artifact"",""artifact_does_not_validate_surface_states_or_all_polymorphs""],""mg_id"":""mg-2145449"",""payload_sha256"":""450d7cc5fe72190781ddc44a6727aba43bd1ba526a98198909bbdb1e2403151b"",""retrieval"":{""endpoint"":""/materials/topological_properties/mg-2145449"",""parameters"":{""soc"":true},""retrieved_at"":""2026-08-11T20:00:06.108622+00:00"",""source_url"":""https://materialsgalaxy.iphy.ac.cn/api/v1/materials/topological_properties/mg-2145449?soc=true""},""soc"":true,""source"":""materialsgalaxy:topo_crystals"",""source_definition"":{""definition"":null,""status"":""not_reported_by_source_artifact""},""source_id"":""mg-2145449"",""source_native_indicators"":{""ind_group"":""Z4"",""sym_ind"":[0],""z2224_ind"":[0,0,0,0]},""source_native_structure_identity"":{""crystal_system"":""Orthorhombic"",""number"":62,""symbol"":""Pnma""},""source_native_topo_class"":""Triv_Ins""}",[]
