case_name,shard_bundle_id,qualified_source_route,output_sources_json,status,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason
mos2-band-gap,sha256:a40147a4152ae67f5ce99806dedea6fec9539b799901979cf2912ef2eb81b9be,optimade:optimade.materialscloud.org/main/2dtopo,"[""optimade:optimade.materialscloud.org/main/2dtopo""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/2dtopo/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:cc732a1160b333912e55480378463585ebed633024aa398b40324a2fea826abe,optimade:optimade.materialscloud.org/main/autowannier,"[""optimade:optimade.materialscloud.org/main/autowannier""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/autowannier/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:d5214fd6248eef4526dfecc1b88e5e67d95b1b5065f207ae8d0cb804e3a5bd63,optimade:optimade.materialscloud.org/main/curated-cofs,"[""optimade:optimade.materialscloud.org/main/curated-cofs""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/curated-cofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:b7703c54f528ab7e37040f7a5e680156527657cc00ea447c191aec86fcfd3ef2,optimade:optimade.materialscloud.org/main/mc2d,"[""optimade:optimade.materialscloud.org/main/mc2d""]",succeeded,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/main/mc2d"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/main/mc2d/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:be0d8d6f2a7ab52403acf5f604504ec18d0bb13d275abaa2f6fe98e42f303ea1,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,"[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1""]",succeeded,records_returned,4,4,4,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1"",4]]",True,True,complete,4,1,https://optimade.materialscloud.org/main/mc3d-pbe-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:e4b72dc7984bf276ec6b0a48b691885d3c19ee2f2d1f94ddff4385e4f4008d95,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,"[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1""]",succeeded,records_returned,5,5,5,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1"",5]]",True,True,complete,5,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:197ab43febf079ea857fc2a26998d408b2b06a465ba4cf340efc8440412ccf43,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,"[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2""]",succeeded,records_returned,5,5,5,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2"",5]]",True,True,complete,5,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v2/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:683964bb313b76d574668f03d23f704c30fd73bf2908eca41ef19787b77861a6,optimade:optimade.materialscloud.org/main/pyrene-mofs,"[""optimade:optimade.materialscloud.org/main/pyrene-mofs""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/pyrene-mofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:d9fde20f423543589e3eadd03f8c9cd9e5ca0572162ee97146f6673328840a24,optimade:optimade.materialscloud.org/main/stoceriaitf,"[""optimade:optimade.materialscloud.org/main/stoceriaitf""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/stoceriaitf/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:027a3710daf74b579cdd48d47c90969d5d67c317aa87fbb35eaae349d7e652ab,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,"[""optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.materialscloud.org/main/tin-antimony-sulfoiodide/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:b24de63946aa1655f479763ed4d28210e241202332d1c6c8e77a2e9b45aebff3,optimade:optimade.odbx.science,"[""optimade:optimade.odbx.science""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,https://optimade.odbx.science/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:ac6ba96a227a4c1db19d9a0950ac479a8fdeb52f82d2fe2819df096f2e23be1a,optimade:optimade.openmaterialsdb.se,"[""optimade:optimade.openmaterialsdb.se""]",succeeded,records_returned,2,2,2,"[[""optimade:optimade.openmaterialsdb.se"",2]]",True,True,complete,2,1,http://optimade.openmaterialsdb.se/v1/structures,optimade_links_next_absent_for_all_selected_providers,
mos2-band-gap,sha256:6951ed328e2cce06fd14868e3d5ac3e9c5eb4bbe571cc24c6d246ceb6ca8bd2a,oqmd,"[""oqmd""]",succeeded,records_returned,29,29,29,"[[""oqmd"",29]]",True,True,complete,29,1,0,oqmd_next_link_absent,
mos2-band-gap,sha256:c0be3b1ec1fc05ce165c716d082051ba45dd39a612dd669dbffc6104b5ca6d66,tcod,"[""tcod""]",empty,verified_empty_result,0,0,0,[],True,True,empty,0,1,,rest_count_matches_json_rows,
lifepo4-stability,sha256:360973eabd0001c59212f8a25973b7631ea1470499ae632854619e808119e481,aflow,"[""aflow""]",succeeded,records_returned,35,35,35,"[[""aflow"",35]]",True,True,complete,,1,1,aflow_short_page,
