case_name,source,source_id,formula,source_native_space_group_symbol,source_native_space_group_number,soc,materials_galaxy_reported_topology_class,source_native_indicators_json,artifact_item_id,content_sha256,evidence_semantics,method_limitation,phase_equivalence_status
bi2se3-topology,materialsgalaxy:topo_crystals,mg-2145449,Bi2Se3,Pnma,62,False,Triv_Ins,"{""z2224_ind"":[0,0,0,0]}",sha256:daf132399559b1010906234cedf8da056a2d9d562f96c2d120bb4e836747b3e9,65f1b68c61f6967e5e120e51f8795434b77c7aacc1a23f62310b12d6b543fe96,Deterministic descriptive view of the same source-native Bundle artifact; not new evidence or independent topology validation.,MaterialsGalaxy reports this classification; MatRouter did not recompute topology invariants or surface states.,Not assessed in the Bi2Se3 case; that case executed no explicit cross-source structure matching.
bi2se3-topology,materialsgalaxy:topo_crystals,mg-2145449,Bi2Se3,Pnma,62,True,Triv_Ins,"{""ind_group"":""Z4"",""sym_ind"":[0],""z2224_ind"":[0,0,0,0]}",sha256:5a8ac0cf36c5e055f758d47834e38b23ae16d5e3f7776bdaf3abb23bbd078fd2,5389eeacade457e3e9e3fe0caa0b0c2541d77bc604e6e4148ee6c2bd151a6b02,Deterministic descriptive view of the same source-native Bundle artifact; not new evidence or independent topology validation.,MaterialsGalaxy reports this classification; MatRouter did not recompute topology invariants or surface states.,Not assessed in the Bi2Se3 case; that case executed no explicit cross-source structure matching.
bi2se3-topology,materialsgalaxy:topo_crystals,mg-35598,Bi2Se3,R-3m,166,False,Triv_Ins,"{""ind_group"":""Z2"",""sym_ind"":[0],""z2224_ind"":[0,0,0,0]}",sha256:f8dfbbf63bbc665bb4cfeb92b25c3e9d166d3f045520774f7f98cda21640c8db,d3e2187729c80d89725434c3a20e54b2f04aed6071dae1a00641b8d1d98e51ba,Deterministic descriptive view of the same source-native Bundle artifact; not new evidence or independent topology validation.,MaterialsGalaxy reports this classification; MatRouter did not recompute topology invariants or surface states.,Not assessed in the Bi2Se3 case; that case executed no explicit cross-source structure matching.
bi2se3-topology,materialsgalaxy:topo_crystals,mg-35598,Bi2Se3,R-3m,166,True,TI,"{""ind_group"":""Z2_Z2_Z2_Z4"",""sym_ind"":[0,0,0,3],""z2224_ind"":[0,0,0,3]}",sha256:c47a00b3885a9c7ec646cf2e255ff826d4d5c52b578c9542ff7fd8b6cb64ac3c,1735d5811362bfb5e03c75570b42b3b4ee9aee27afbe2235208b900e72db9a97,Deterministic descriptive view of the same source-native Bundle artifact; not new evidence or independent topology validation.,MaterialsGalaxy reports this classification; MatRouter did not recompute topology invariants or surface states.,Not assessed in the Bi2Se3 case; that case executed no explicit cross-source structure matching.
