case_name,source,source_id,formula,property,semantic,value_json,unit,context_json,provenance_json,limitations_json,record_item_id
mos2-band-gap,materials_project,mp-1027525,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.003681534999998348,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""energy_above_hull"",""origin"":""materials_project_summary"",""raw_unit"":""eV/atom"",""raw_value"":0.003681534999998348,""retrieved_at"":""2026-08-09T20:08:39.718325+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task""]",sha256:3791d96742fd5aaadde85824a6eb50f0be52015647c8c1a1d8d091e0b23c2de5
mos2-band-gap,materials_project,mp-1027525,MoS2,formation_energy_per_atom_eV,formation_energy_per_atom,-0.9624610102083343,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""formation_energy_per_atom"",""origin"":""materials_project_summary"",""raw_unit"":""eV/atom"",""raw_value"":-0.9624610102083343,""retrieved_at"":""2026-08-09T20:08:39.718325+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task""]",sha256:3791d96742fd5aaadde85824a6eb50f0be52015647c8c1a1d8d091e0b23c2de5
mos2-band-gap,materials_project,mp-1027525,MoS2,is_stable,thermodynamic_stability_label,false,,"{""code"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""stability_definition"":""Materials Project SummaryDoc: true means the source-selected thermodynamic entry is a stable entry on the source phase-diagram convex hull"",""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""is_stable"",""native_semantic"":""materials_project_summary_source_native_stability_label"",""origin"":""materials_project_summary"",""raw_unit"":null,""raw_value"":false,""retrieved_at"":""2026-08-09T20:08:39.718325+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task"",""source_definition_not_recomputed_by_matrouter"",""summary_stability_not_bound_to_exact_thermo_type_entry_set_or_energy_frame""]",sha256:3791d96742fd5aaadde85824a6eb50f0be52015647c8c1a1d8d091e0b23c2de5
mos2-band-gap,materials_project,aaafjilg,MoS2,band_gap_eV,electronic_band_gap,1.3361,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":""materials_project"",""evidence_source_id"":""aaafjilg"",""native_field"":""band_gap"",""origin"":""materials_project_summary"",""raw_unit"":""eV"",""raw_value"":1.3361,""retrieved_at"":""2026-08-09T20:08:39.716416+00:00"",""summary_property_origin"":{""last_updated"":""2022-06-14T22:16:37.826000Z"",""name"":""electronic_structure"",""task_id"":""aaafjilg""},""summary_property_origin_candidates"":[{""last_updated"":""2022-06-14T22:16:37.826000Z"",""name"":""electronic_structure"",""task_id"":""aaafjilg""}],""summary_property_origin_family"":""electronic_structure""}","[""scientific_context_not_reported_by_summary_endpoint""]",sha256:39b9cf83a043659da878087ae552a69fc39964a637066a0ab3f6734e8a4cf042
mos2-band-gap,materials_project,mp-1018809,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.002389239999999404,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""energy_above_hull"",""origin"":""materials_project_summary"",""raw_unit"":""eV/atom"",""raw_value"":0.002389239999999404,""retrieved_at"":""2026-08-09T20:08:39.716416+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task""]",sha256:39b9cf83a043659da878087ae552a69fc39964a637066a0ab3f6734e8a4cf042
mos2-band-gap,materials_project,mp-1018809,MoS2,formation_energy_per_atom_eV,formation_energy_per_atom,-0.9637533052083332,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""formation_energy_per_atom"",""origin"":""materials_project_summary"",""raw_unit"":""eV/atom"",""raw_value"":-0.9637533052083332,""retrieved_at"":""2026-08-09T20:08:39.716416+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task""]",sha256:39b9cf83a043659da878087ae552a69fc39964a637066a0ab3f6734e8a4cf042
mos2-band-gap,materials_project,mp-1018809,MoS2,is_stable,thermodynamic_stability_label,false,,"{""code"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""stability_definition"":""Materials Project SummaryDoc: true means the source-selected thermodynamic entry is a stable entry on the source phase-diagram convex hull"",""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""/materials/summary/"",""evidence_source"":null,""evidence_source_id"":null,""native_field"":""is_stable"",""native_semantic"":""materials_project_summary_source_native_stability_label"",""origin"":""materials_project_summary"",""raw_unit"":null,""raw_value"":false,""retrieved_at"":""2026-08-09T20:08:39.716416+00:00"",""summary_property_origin"":null,""summary_property_origin_candidates"":[],""summary_property_origin_family"":""thermo""}","[""scientific_context_not_reported_by_summary_endpoint"",""summary_property_not_bound_to_calculation_task"",""source_definition_not_recomputed_by_matrouter"",""summary_stability_not_bound_to_exact_thermo_type_entry_set_or_energy_frame""]",sha256:39b9cf83a043659da878087ae552a69fc39964a637066a0ab3f6734e8a4cf042
mos2-band-gap,oqmd,1473447,MoS2,band_gap_eV,electronic_band_gap,0.0,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""band_gap"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV"",""raw_value"":0.0,""retrieved_at"":""2026-08-09T20:08:26.156649+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f07fca4c6fe0d32055cd18f49b423a46e80de4451b0438005843ed2e4a44023
mos2-band-gap,oqmd,1473447,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.3109377974999994,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""native_field"":""stability"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":0.3109377974999994,""retrieved_at"":""2026-08-09T20:08:26.156649+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f07fca4c6fe0d32055cd18f49b423a46e80de4451b0438005843ed2e4a44023
mos2-band-gap,oqmd,1473447,MoS2,formation_energy_per_atom_eV,formation_energy_per_atom,-0.7502421235089045,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""delta_e"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":-0.7502421235089045,""retrieved_at"":""2026-08-09T20:08:26.156649+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f07fca4c6fe0d32055cd18f49b423a46e80de4451b0438005843ed2e4a44023
mos2-band-gap,oqmd,1439760,MoS2,band_gap_eV,electronic_band_gap,5.154,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""band_gap"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV"",""raw_value"":5.154,""retrieved_at"":""2026-08-09T20:08:26.156493+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f2525267144c75e695f1c203d36823583b730819687a255b14179de6f3dc3ba
mos2-band-gap,oqmd,1439760,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.5969983674999995,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""native_field"":""stability"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":0.5969983674999995,""retrieved_at"":""2026-08-09T20:08:26.156493+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f2525267144c75e695f1c203d36823583b730819687a255b14179de6f3dc3ba
mos2-band-gap,oqmd,1439760,MoS2,formation_energy_per_atom_eV,formation_energy_per_atom,-0.46418155350890444,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""native_field"":""delta_e"",""origin"":""oqmd_formationenergy_search"",""raw_unit"":""eV/atom"",""raw_value"":-0.46418155350890444,""retrieved_at"":""2026-08-09T20:08:26.156493+00:00""}","[""scientific_context_not_reported_by_oqmd_endpoint""]",sha256:3f2525267144c75e695f1c203d36823583b730819687a255b14179de6f3dc3ba
mos2-band-gap,alexandria,agm002380588,MoS2,band_gap_eV,electronic_band_gap,0.0,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm002380588"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""band_gap_ind"",""origin"":""alexandria_public_website"",""raw_unit"":""eV"",""raw_value"":0.0,""retrieved_at"":""2026-08-09T20:08:16.987414+00:00""}","[""functional_not_provided_by_public_website""]",sha256:42c60e163c8dc8221b587799acccfc77e3530a318e9aa5019f1a1fb87beea381
mos2-band-gap,alexandria,agm002380588,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.2763999,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm002380588"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""e_above_hull"",""origin"":""alexandria_public_website"",""raw_unit"":""eV/atom"",""raw_value"":0.2763999,""retrieved_at"":""2026-08-09T20:08:16.987414+00:00""}","[""functional_not_provided_by_public_website""]",sha256:42c60e163c8dc8221b587799acccfc77e3530a318e9aa5019f1a1fb87beea381
mos2-band-gap,alexandria,agm002181839,MoS2,band_gap_eV,electronic_band_gap,1.3314,eV,"{""code"":null,""dimensionality"":null,""functional"":null,""gap_character"":null,""gap_observable_level"":null,""geometry_state"":null,""hubbard_u_eV"":null,""magnetic_configuration"":null,""method_family"":null,""modality"":null,""pressure_GPa"":null,""relativity_method"":null,""soc"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm002181839"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""band_gap_ind"",""origin"":""alexandria_public_website"",""raw_unit"":""eV"",""raw_value"":1.3314,""retrieved_at"":""2026-08-09T20:08:16.986239+00:00""}","[""functional_not_provided_by_public_website""]",sha256:48a28ec7a6f36eb4b12a67876557d6bc2a7c05b0b441200c04605844eb6dcedb
mos2-band-gap,alexandria,agm002181839,MoS2,energy_above_hull_eV,energy_above_convex_hull_per_atom,0.000511975,eV/atom,"{""code"":null,""corrections"":null,""dimensionality"":null,""functional"":null,""geometry_state"":null,""hubbard_u_eV"":null,""hull_construction"":null,""magnetic_configuration"":null,""method_family"":null,""pressure_GPa"":null,""reference_state"":null,""spin"":null,""strain_state"":null,""temperature_K"":null,""thermodynamic_ensemble"":null,""workflow"":null}","{""citation"":null,""endpoint"":""https://alexandria.icams.rub.de"",""evidence_source"":""alexandria"",""evidence_source_id"":""agm002181839"",""link"":""https://alexandria.icams.rub.de"",""native_field"":""e_above_hull"",""origin"":""alexandria_public_website"",""raw_unit"":""eV/atom"",""raw_value"":0.000511975,""retrieved_at"":""2026-08-09T20:08:16.986239+00:00""}","[""functional_not_provided_by_public_website""]",sha256:48a28ec7a6f36eb4b12a67876557d6bc2a7c05b0b441200c04605844eb6dcedb
