case_name,qualified_source_route,aggregate_sources_json,route_state,execution_status,record_result,reason_code,record_count,returned_count,actual_bundle_record_count,actual_bundle_record_sources_json,record_count_matches_actual,returned_count_matches_actual,record_completeness_state,upstream_total,pages_fetched,last_cursor,exhaustion_evidence,truncation_reason,normalized_record_bytes_in_bundle,elapsed_seconds,effective_product_record_limit,effective_product_max_pages,effective_product_max_elapsed_seconds,effective_product_max_normalized_bytes,warning_count,warnings_json,failure_type,message
mos2-band-gap,optimade:optimade.materialscloud.org/main/2dtopo,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/2dtopo/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,1.365907,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/autowannier,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/autowannier/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.378097,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/curated-cofs,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/curated-cofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.35601,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/mc2d,[],ready,succeeded,complete,records_returned,3,3,3,"[[""optimade:optimade.materialscloud.org/main/mc2d"",3]]",True,True,complete,3,1,https://optimade.materialscloud.org/main/mc2d/v1/structures,optimade_links_next_absent_for_all_selected_providers,,5687,0.344416,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/mc3d-pbe-v1,[],ready,succeeded,complete,records_returned,4,4,4,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbe-v1"",4]]",True,True,complete,4,1,https://optimade.materialscloud.org/main/mc3d-pbe-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,,14362,1.249204,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1,[],ready,succeeded,complete,records_returned,5,5,5,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v1"",5]]",True,True,complete,5,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v1/v1/structures,optimade_links_next_absent_for_all_selected_providers,,18148,0.46812,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2,[],ready,succeeded,complete,records_returned,5,5,5,"[[""optimade:optimade.materialscloud.org/main/mc3d-pbesol-v2"",5]]",True,True,complete,5,1,https://optimade.materialscloud.org/main/mc3d-pbesol-v2/v1/structures,optimade_links_next_absent_for_all_selected_providers,,23382,0.356856,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/pyrene-mofs,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/pyrene-mofs/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.36478,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/stoceriaitf,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/stoceriaitf/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.326071,10000,10000,300.0,1000000000,0,[],,
mos2-band-gap,optimade:optimade.materialscloud.org/main/tin-antimony-sulfoiodide,[],ready,succeeded,empty,verified_empty_result,0,0,0,[],True,True,complete,0,1,https://optimade.materialscloud.org/main/tin-antimony-sulfoiodide/v1/structures,optimade_links_next_absent_for_all_selected_providers,,0,0.393126,10000,10000,300.0,1000000000,0,[],,
