case_name,source,source_id,structure_item_id,media_type,content_sha256,content_bytes,pbc_json
mos2-band-gap,aflow,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1S2_ICSD_644246,sha256:6818ac72466339e77259cac82d4e1a7bace6fa089bded167aa344ad0f20cd5d6,application/json,3de4f3edcdf6534baa09c1cb00251513853c389ec010b847b18011442fe49545,658,null
mos2-band-gap,materials_project,mp-2815,sha256:1c09b4856294a73d2218a03eaa5faee21620440d5ea93ed1fdcca3bc83c79717,application/json,42b9039b947f588349b7cbc0117bbb01ec1990d8ff65432d9c3c3ec9de0ea4de,1575,null
mos2-band-gap,aflow,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Mo1S2_ICSD_644246,sha256:6818ac72466339e77259cac82d4e1a7bace6fa089bded167aa344ad0f20cd5d6,application/json,3de4f3edcdf6534baa09c1cb00251513853c389ec010b847b18011442fe49545,658,null
